cash_flow,own_supporting,user_other,trust_fund,exp_type,gov_level,description,state,state_code,year,estimate_actual,value,mode,deflator,chained,gov_level_sort_order,mode_sort_order,user_other_grp,chained_year,state_code_sort_order,population,value_per_pop,chained_per_pop
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Idaho,ID,2021,Actual,28915000,Highways,116.734,24769989.89154831,1,0,Other,2017,16,1904848,15.17968887806271,13.00365692776973
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Idaho,ID,2022,Actual,112073000,Highways,128.921,86931531.71321973,1,0,Other,2017,16,1944299,57.64185446785705,44.71098926308131
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Illinois,IL,2020,Actual,25000,Highways,106.515,23470.87264704502,1,0,Other,2017,17,12821814,0.001949802110684,0.001830542281072
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Illinois,IL,2021,Actual,254000,Highways,116.734,217588.7059468535,1,0,Other,2017,17,12700641,0.019998990602128,0.017132104273072
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Illinois,IL,2022,Actual,132580000,Highways,128.921,102838172.2139915,1,0,Other,2017,17,12621821,10.50403107443847,8.147649393379254
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Indiana,IN,2020,Actual,23954000,Highways,106.515,22488851.33549265,1,0,Other,2017,18,6786587,3.529609212996164,3.31372033328279
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Indiana,IN,2021,Actual,25285000,Highways,116.734,21660356.02309524,1,0,Other,2017,18,6815907,3.709704372433485,3.177912495445616
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Indiana,IN,2022,Actual,28344000,Highways,128.921,21985557.0465634,1,0,Other,2017,18,6844545,4.141107991838756,3.212128351345984
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Iowa,IA,2020,Actual,39740000,Highways,106.515,37309299.15974276,1,0,Other,2017,15,3190546,12.45554836068811,11.69370357291284
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Iowa,IA,2021,Actual,15886000,Highways,116.734,13608717.25461305,1,0,Other,2017,15,3198613,4.966527679341015,4.254568231484413
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Iowa,IA,2022,Actual,38931000,Highways,128.921,30197562.84856618,1,0,Other,2017,15,3202820,12.1552257073454,9.428429586603736
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Kansas,KS,2020,Actual,590968000,Highways,106.515,554821386.659156,1,0,Other,2017,19,2937745,201.1638178262579,188.8596139757385
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Kansas,KS,2021,Actual,671078000,Highways,116.734,574877927.5960732,1,0,Other,2017,19,2938338,228.3869316600064,195.6473106892649
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Kansas,KS,2022,Actual,740703000,Highways,128.921,574540222.3066839,1,0,Other,2017,19,2937324,252.1693214640264,195.5998801312637
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Kentucky,KY,2020,Actual,0,Highways,106.515,0,1,0,Other,2017,20,4506302,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Kentucky,KY,2021,Actual,0,Highways,116.734,0,1,0,Other,2017,20,4507583,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Kentucky,KY,2022,Actual,0,Highways,128.921,0,1,0,Other,2017,20,4519233,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Louisiana,LA,2020,Actual,5260000,Highways,106.515,4938271.604938271,1,0,Other,2017,21,4657874,1.129270564210195,1.060198623865367
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Louisiana,LA,2021,Actual,4658000,Highways,116.734,3990268.473623794,1,0,Other,2017,21,4627971,1.006488588627716,0.862206887991259
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Louisiana,LA,2022,Actual,5420000,Highways,128.921,4204125.006787103,1,0,Other,2017,21,4593687,1.179880126791399,0.915196226209383
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Maine,ME,2020,Actual,0,Highways,106.515,0,1,0,Other,2017,24,1363196,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Maine,ME,2021,Actual,0,Highways,116.734,0,1,0,Other,2017,24,1378931,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Maine,ME,2022,Actual,0,Highways,128.921,0,1,0,Other,2017,24,1390922,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Maryland,MD,2020,Actual,223194000,Highways,106.515,209542317.9833826,1,0,Other,2017,23,6181629,36.10601671501153,33.89758880440457
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Maryland,MD,2021,Actual,288668000,Highways,116.734,247286994.3632532,1,0,Other,2017,23,6179403,46.71454507822196,40.01794256876484
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Maryland,MD,2022,Actual,346204000,Highways,128.921,268539648.3117568,1,0,Other,2017,23,6192440,55.90752595099831,43.36572470815329
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Massachusetts,MA,2020,Actual,90516000,Highways,106.515,84979580.34079707,1,0,Other,2017,22,7033132,12.86994186942603,12.08275066368683
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Massachusetts,MA,2021,Actual,85129000,Highways,116.734,72925625.7816917,1,0,Other,2017,22,7000474,12.16046227726865,10.41724114419848
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Massachusetts,MA,2022,Actual,1926000,Highways,128.921,1493938.148168258,1,0,Other,2017,22,7022468,0.274262552709389,0.212736910751072
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Michigan,MI,2020,Actual,30932000,Highways,106.515,29040041.30873586,1,0,Other,2017,25,10079338,3.068852339310379,2.881145697141604
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Michigan,MI,2021,Actual,34322000,Highways,116.734,29401888.05318074,1,0,Other,2017,25,10041351,3.418065955467546,2.928080897996767
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Michigan,MI,2022,Actual,81535000,Highways,128.921,63244157.27461004,1,0,Other,2017,25,10050877,8.112227420552456,6.292401874444392
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Minnesota,MN,2020,Actual,727788000,Highways,106.515,683272778.4819039,1,0,Other,2017,26,5706692,127.5323777768276,119.7318478869902
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Minnesota,MN,2021,Actual,1233016000,Highways,116.734,1056261243.510888,1,0,Other,2017,26,5718660,215.6127484410684,184.704326452506
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Minnesota,MN,2022,Actual,1240823000,Highways,128.921,962467712.7853492,1,0,Other,2017,26,5721621,216.8656399995735,168.215915172527
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Mississippi,MS,2020,Actual,62616000,Highways,106.515,58786086.46669483,1,0,Other,2017,29,2961278,21.14492458999121,19.85159328732217
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Mississippi,MS,2021,Actual,91282000,Highways,116.734,78196583.68598694,1,0,Other,2017,29,2947209,30.97235384392488,26.53241887018767
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Mississippi,MS,2022,Actual,61601000,Highways,128.921,47781975.0079506,1,0,Other,2017,29,2941939,20.93891137783618,16.24166068975278
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Missouri,MO,2020,Actual,414063000,Highways,106.515,388736797.634136,1,0,Other,2017,27,6154854,67.27421966467442,63.15938568715619
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Missouri,MO,2021,Actual,515911000,Highways,116.734,441954357.7706581,1,0,Other,2017,27,6171374,83.59742903282154,71.61360788872268
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Missouri,MO,2022,Actual,468541000,Highways,128.921,363432644.7979771,1,0,Other,2017,27,6179414,75.82288547101716,58.8134481356933
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Montana,MT,2020,Actual,7290000,Highways,106.515,6844106.463878327,1,0,Other,2017,30,1084216,6.723752462608926,6.312493510405977
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,Other state funds,Montana,MT,2021,Actual,7549000,Highways,116.734,6466839.13855432,1,0,Other,2017,30,1106522,6.822277369993548,5.844293324989761
